1 2 3 4
1 2 4 5
1 2 5 6
1 2 6 7
1 2 7 8
1 2 9 10
1 2 10 11
1 2 11 12
1 2 12 13
1 2 13 14
1 2 14 15
1 2 15 16
1 2 17 18
1 2 18 19
1 2 19 20
1 2 20 21
1 2 21 22
1 2 22 23
1 2 23 24
1 2 25 26
1 2 26 27
1 2 27 28
1 2 28 29
1 2 29 30
1 2 30 31
1 2 31 32
1 2 33 34
1 2 34 35
1 2 35 36
1 2 36 37
1 2 37 38
1 2 38 39
1 2 39 40
1 2 41 42
1 2 42 43
1 2 43 44
1 2 44 45
1 2 45 46
1 2 46 47
1 2 47 48
1 2 49 50
1 2 50 51
1 2 51 52
1 2 52 53
1 2 53 54
1 2 54 55
1 2 55 56
1 2 57 58
1 2 58 59
1 2 59 60
1 2 60 61
1 2 61 62
1 2 62 63
1 2 63 64
1 2 9 17
1 2 17 25
1 2 25 33
1 2 33 41
1 2 41 49
1 2 49 57
1 2 10 18
1 2 18 26
1 2 26 34
1 2 34 42
1 2 42 50
1 2 50 58
1 2 3 11
1 2 11 19
1 2 19 27
1 2 27 35
1 2 35 43
1 2 43 51
1 2 51 59
1 2 4 12
1 2 12 20
1 2 20 28
1 2 28 36
1 2 36 44
1 2 44 52
1 2 52 60
1 2 5 13
1 2 13 21
1 2 21 29
1 2 29 37
1 2 37 45
1 2 45 53
1 2 53 61
1 2 6 14
1 2 14 22
1 2 22 30
1 2 30 38
1 2 38 46
1 2 46 54
1 2 54 62
1 2 7 15
1 2 15 23
1 2 23 31
1 2 31 39
1 2 39 47
1 2 47 55
1 2 55 63
1 2 8 16
1 2 16 24
1 2 24 32
1 2 32 40
1 2 40 48
1 2 48 56
1 2 56 64
1 2 49 58
1 2 41 50
1 2 50 59
1 2 33 42
1 2 42 51
1 2 51 60
1 2 25 34
1 2 34 43
1 2 43 52
1 2 52 61
1 2 17 26
1 2 26 35
1 2 35 44
1 2 44 53
1 2 53 62
1 2 9 18
1 2 18 27
1 2 27 36
1 2 36 45
1 2 45 54
1 2 54 63
1 2 10 19
1 2 19 28
1 2 28 37
1 2 37 46
1 2 46 55
1 2 55 64
1 2 11 20
1 2 20 29
1 2 29 38
1 2 38 47
1 2 47 56
1 2 3 12
1 2 12 21
1 2 21 30
1 2 30 39
1 2 39 48
1 2 4 13
1 2 13 22
1 2 22 31
1 2 31 40
1 2 5 14
1 2 14 23
1 2 23 32
1 2 6 15
1 2 15 24
1 2 7 16
1 2 56 63
1 2 48 55
1 2 55 62
1 2 40 47
1 2 47 54
