# X Y Z i
284314.50 5036342.40 -26.00 0.000897
284334.50 5036342.40 -26.00 0.000941
284214.50 5036142.40 -22.00 0.000886
284234.50 5036142.40 -22.00 0.000899
284254.50 5036142.40 -22.00 0.000919
284274.50 5036142.40 -22.00 0.000959
284294.50 5036142.40 -22.00 0.001067
284314.50 5036142.40 -22.00 0.001092
284334.50 5036142.40 -22.00 0.001112
284214.50 5036162.40 -22.00 0.000870
284234.50 5036162.40 -22.00 0.000884
284254.50 5036162.40 -22.00 0.000894
284274.50 5036162.40 -22.00 0.000926
284294.50 5036162.40 -22.00 0.001058
284314.50 5036162.40 -22.00 0.001129
284334.50 5036162.40 -22.00 0.001162
284214.50 5036182.40 -22.00 0.000851
284234.50 5036182.40 -22.00 0.000884
284254.50 5036182.40 -22.00 0.000886
284274.50 5036182.40 -22.00 0.000910
284294.50 5036182.40 -22.00 0.001031
284314.50 5036182.40 -22.00 0.001884
284334.50 5036182.40 -22.00 0.000003
284214.50 5036202.40 -22.00 0.000766
284234.50 5036202.40 -22.00 0.000776
284254.50 5036202.40 -22.00 0.000843
284274.50 5036202.40 -22.00 0.000914
284294.50 5036202.40 -22.00 0.000851
284314.50 5036202.40 -22.00 0.002242
284334.50 5036202.40 -22.00 0.004950
284214.50 5036222.40 -22.00 0.000511
284234.50 5036222.40 -22.00 0.000013
284254.50 5036222.40 -22.00 0.000495
284274.50 5036222.40 -22.00 0.000867
284294.50 5036222.40 -22.00 0.002922
284314.50 5036222.40 -22.00 0.002350
284334.50 5036222.40 -22.00 0.026109
284214.50 5036242.40 -22.00 0.000398
284234.50 5036242.40 -22.00 0.000042
284254.50 5036242.40 -22.00 0.000793
284274.50 5036242.40 -22.00 0.000769
284294.50 5036242.40 -22.00 0.001015
284314.50 5036242.40 -22.00 0.004434
284334.50 5036242.40 -22.00 0.019647
284214.50 5036262.40 -22.00 0.000694
284234.50 5036262.40 -22.00 0.000705
284254.50 5036262.40 -22.00 0.000678
284274.50 5036262.40 -22.00 0.000658
284294.50 5036262.40 -22.00 0.000834
284314.50 5036262.40 -22.00 0.002778
284334.50 5036262.40 -22.00 0.000999
284214.50 5036282.40 -22.00 0.000799
284234.50 5036282.40 -22.00 0.000747
284254.50 5036282.40 -22.00 0.000852
284274.50 5036282.40 -22.00 0.000877
284294.50 5036282.40 -22.00 0.000889
284314.50 5036282.40 -22.00 0.000977
284334.50 5036282.40 -22.00 0.001223
284214.50 5036302.40 -22.00 0.000846
284234.50 5036302.40 -22.00 0.000856
284254.50 5036302.40 -22.00 0.000875
284274.50 5036302.40 -22.00 0.000830
284294.50 5036302.40 -22.00 0.000894
284314.50 5036302.40 -22.00 0.000977
284334.50 5036302.40 -22.00 0.001068
284214.50 5036322.40 -22.00 0.000834
284234.50 5036322.40 -22.00 0.000661
284254.50 5036322.40 -22.00 0.000708
284274.50 5036322.40 -22.00 0.000789
284294.50 5036322.40 -22.00 0.000867
284314.50 5036322.40 -22.00 0.000935
284334.50 5036322.40 -22.00 0.000988
284214.50 5036342.40 -22.00 0.000690
284234.50 5036342.40 -22.00 0.000588
284254.50 5036342.40 -22.00 0.000577
284274.50 5036342.40 -22.00 0.000738
284294.50 5036342.40 -22.00 0.000834
284314.50 5036342.40 -22.00 0.000897
284334.50 5036342.40 -22.00 0.000941
284214.50 5036142.40 -18.00 0.000886
284234.50 5036142.40 -18.00 0.000899
284254.50 5036142.40 -18.00 0.000919
284274.50 5036142.40 -18.00 0.000961
284294.50 5036142.40 -18.00 0.001081
284314.50 5036142.40 -18.00 0.001099
284334.50 5036142.40 -18.00 0.001115
284214.50 5036162.40 -18.00 0.000869
284234.50 5036162.40 -18.00 0.000883
284254.50 5036162.40 -18.00 0.000894
284274.50 5036162.40 -18.00 0.000931
284294.50 5036162.40 -18.00 0.001082
284314.50 5036162.40 -18.00 0.001153
284334.50 5036162.40 -18.00 0.001170
284214.50 5036182.40 -18.00 0.000849
284234.50 5036182.40 -18.00 0.000881
284254.50 5036182.40 -18.00 0.000884
284274.50 5036182.40 -18.00 0.000911
284294.50 5036182.40 -18.00 0.001052
284314.50 5036182.40 -18.00 0.001963
284334.50 5036182.40 -18.00 0.000038
284214.50 5036202.40 -18.00 0.000762
284234.50 5036202.40 -18.00 0.000771
284254.50 5036202.40 -18.00 0.000837
284274.50 5036202.40 -18.00 0.000906
284294.50 5036202.40 -18.00 0.000887
284314.50 5036202.40 -18.00 0.002409
284334.50 5036202.40 -18.00 0.005155
284214.50 5036222.40 -18.00 0.000507
284234.50 5036222.40 -18.00 0.000008
284254.50 5036222.40 -18.00 0.000485
284274.50 5036222.40 -18.00 0.000865
284294.50 5036222.40 -18.00 0.003199
284314.50 5036222.40 -18.00 0.002592
284334.50 5036222.40 -18.00 0.026333
284214.50 5036242.40 -18.00 0.000395
284234.50 5036242.40 -18.00 0.000030
284254.50 5036242.40 -18.00 0.000789
284274.50 5036242.40 -18.00 0.000766
284294.50 5036242.40 -18.00 0.001012
284314.50 5036242.40 -18.00 0.004708
284334.50 5036242.40 -18.00 0.019885
284214.50 5036262.40 -18.00 0.000691
284234.50 5036262.40 -18.00 0.000703
284254.50 5036262.40 -18.00 0.000676
284274.50 5036262.40 -18.00 0.000655
284294.50 5036262.40 -18.00 0.000828
284314.50 5036262.40 -18.00 0.002983
284334.50 5036262.40 -18.00 0.001106
284214.50 5036282.40 -18.00 0.000796
284234.50 5036282.40 -18.00 0.000746
284254.50 5036282.40 -18.00 0.000850
284274.50 5036282.40 -18.00 0.000877
284294.50 5036282.40 -18.00 0.000889
284314.50 5036282.40 -18.00 0.000976
284334.50 5036282.40 -18.00 0.001233
284214.50 5036302.40 -18.00 0.000846
284234.50 5036302.40 -18.00 0.000857
284254.50 5036302.40 -18.00 0.000876
284274.50 5036302.40 -18.00 0.000830
284294.50 5036302.40 -18.00 0.000892
284314.50 5036302.40 -18.00 0.000977
284334.50 5036302.40 -18.00 0.001070
284214.50 5036322.40 -18.00 0.000836
284234.50 5036322.40 -18.00 0.000652
284254.50 5036322.40 -18.00 0.000699
284274.50 5036322.40 -18.00 0.000784
284294.50 5036322.40 -18.00 0.000865
284314.50 5036322.40 -18.00 0.000934
284334.50 5036322.40 -18.00 0.000988
284214.50 5036342.40 -18.00 0.000682
284234.50 5036342.40 -18.00 0.000566
284254.50 5036342.40 -18.00 0.000550
284274.50 5036342.40 -18.00 0.000731
284294.50 5036342.40 -18.00 0.000832
284314.50 5036342.40 -18.00 0.000896
284334.50 5036342.40 -18.00 0.000941
284214.50 5036142.40 -14.00 0.000886
284234.50 5036142.40 -14.00 0.000899
284254.50 5036142.40 -14.00 0.000919
284274.50 5036142.40 -14.00 0.000961
284294.50 5036142.40 -14.00 0.001081
284314.50 5036142.40 -14.00 0.001099
284334.50 5036142.40 -14.00 0.001115
284214.50 5036162.40 -14.00 0.000869
284234.50 5036162.40 -14.00 0.000883
284254.50 5036162.40 -14.00 0.000894
284274.50 5036162.40 -14.00 0.000931
284294.50 5036162.40 -14.00 0.001081
284314.50 5036162.40 -14.00 0.001153
284334.50 5036162.40 -14.00 0.001171
284214.50 5036182.40 -14.00 0.000848
284234.50 5036182.40 -14.00 0.000881
284254.50 5036182.40 -14.00 0.000884
284274.50 5036182.40 -14.00 0.000912
284294.50 5036182.40 -14.00 0.001052
284314.50 5036182.40 -14.00 0.001956
284334.50 5036182.40 -14.00 0.000038
284214.50 5036202.40 -14.00 0.000761
284234.50 5036202.40 -14.00 0.000769
284254.50 5036202.40 -14.00 0.000836
284274.50 5036202.40 -14.00 0.000906
284294.50 5036202.40 -14.00 0.000885
284314.50 5036202.40 -14.00 0.002394
284334.50 5036202.40 -14.00 0.005130
284214.50 5036222.40 -14.00 0.000506
284234.50 5036222.40 -14.00 0.000007
284254.50 5036222.40 -14.00 0.000480
284274.50 5036222.40 -14.00 0.000864
284294.50 5036222.40 -14.00 0.003161
284314.50 5036222.40 -14.00 0.002564
284334.50 5036222.40 -14.00 0.026311
284214.50 5036242.40 -14.00 0.000393
284234.50 5036242.40 -14.00 0.000036
284254.50 5036242.40 -14.00 0.000788
284274.50 5036242.40 -14.00 0.000765
284294.50 5036242.40 -14.00 0.001020
284314.50 5036242.40 -14.00 0.004667
284334.50 5036242.40 -14.00 0.019858
284214.50 5036262.40 -14.00 0.000690
284234.50 5036262.40 -14.00 0.000703
284254.50 5036262.40 -14.00 0.000675
284274.50 5036262.40 -14.00 0.000654
284294.50 5036262.40 -14.00 0.000824
284314.50 5036262.40 -14.00 0.002963
284334.50 5036262.40 -14.00 0.001099
284214.50 5036282.40 -14.00 0.000797
284234.50 5036282.40 -14.00 0.000746
284254.50 5036282.40 -14.00 0.000850
284274.50 5036282.40 -14.00 0.000877
284294.50 5036282.40 -14.00 0.000889
284314.50 5036282.40 -14.00 0.000974
284334.50 5036282.40 -14.00 0.001233
284214.50 5036302.40 -14.00 0.000847
284234.50 5036302.40 -14.00 0.000858
284254.50 5036302.40 -14.00 0.000877
284274.50 5036302.40 -14.00 0.000827
284294.50 5036302.40 -14.00 0.000892
284314.50 5036302.40 -14.00 0.000977
284334.50 5036302.40 -14.00 0.001070
284214.50 5036322.40 -14.00 0.000836
284234.50 5036322.40 -14.00 0.000649
284254.50 5036322.40 -14.00 0.000696
284274.50 5036322.40 -14.00 0.000783
284294.50 5036322.40 -14.00 0.000865
284314.50 5036322.40 -14.00 0.000934
284334.50 5036322.40 -14.00 0.000988
284214.50 5036342.40 -14.00 0.000681
284234.50 5036342.40 -14.00 0.000560
284254.50 5036342.40 -14.00 0.000543
284274.50 5036342.40 -14.00 0.000729
284294.50 5036342.40 -14.00 0.000831
284314.50 5036342.40 -14.00 0.000896
284334.50 5036342.40 -14.00 0.000941
284214.50 5036142.40 -10.00 0.000885
284234.50 5036142.40 -10.00 0.000899
284254.50 5036142.40 -10.00 0.000919
284274.50 5036142.40 -10.00 0.000963
284294.50 5036142.40 -10.00 0.001096
284314.50 5036142.40 -10.00 0.001107
284334.50 5036142.40 -10.00 0.001118
284214.50 5036162.40 -10.00 0.000868
284234.50 5036162.40 -10.00 0.000882
284254.50 5036162.40 -10.00 0.000894
284274.50 5036162.40 -10.00 0.000936
284294.50 5036162.40 -10.00 0.001105
284314.50 5036162.40 -10.00 0.001177
284334.50 5036162.40 -10.00 0.001179
284214.50 5036182.40 -10.00 0.000847
284234.50 5036182.40 -10.00 0.000878
284254.50 5036182.40 -10.00 0.000882
284274.50 5036182.40 -10.00 0.000913
284294.50 5036182.40 -10.00 0.001073
284314.50 5036182.40 -10.00 0.002035
284334.50 5036182.40 -10.00 0.000072
284214.50 5036202.40 -10.00 0.000757
284234.50 5036202.40 -10.00 0.000763
284254.50 5036202.40 -10.00 0.000830
284274.50 5036202.40 -10.00 0.000899
284294.50 5036202.40 -10.00 0.000923
284314.50 5036202.40 -10.00 0.002560
284334.50 5036202.40 -10.00 0.005333
