64
# x y z
0.090 0.430 0.000
3 6 30 33 -2981.264830 1.419769
3 6 31 34 -3122.785450 1.829132
3 6 32 35 -2942.821240 1.599710
3 6 33 36 973.039039 1.692757
3 6 34 37 1540.984540 1.221392
3 6 35 38 1904.153665 1.307462
3 6 36 39 1811.503285 1.498772
3 6 37 40 1218.800485 1.017065
3 6 38 41 -1940.148245 1.694529
3 6 39 42 -2196.208245 1.361454
3 6 40 43 -2078.164500 1.308289
3 6 41 44 765.251681 1.726586
3 6 42 45 1036.724590 1.691473
3 6 43 46 1183.852260 2.020595
3 6 44 47 1224.621855 1.827801
3 6 45 48 992.791391 2.086575
3 6 46 49 -1376.350610 0.648607
3 6 47 50 -1591.390910 0.732924
3 6 48 51 -1549.491990 0.802984
3 6 49 52 632.987184 2.148263
3 6 50 53 772.695517 1.939343
3 6 51 54 865.834039 1.454495
3 6 52 55 901.926805 1.897732
3 6 53 56 805.939527 1.945849
3 6 54 57 -1122.830830 1.961239
3 6 55 58 -1261.095855 0.923639
3 6 56 59 -1257.876010 0.534304
3 6 57 60 569.009961 2.127871
3 6 58 61 663.357156 2.317540
3 6 59 62 729.377872 1.988286
3 6 60 63 727.010947 1.991664
3 6 61 64 662.145736 2.066503
4 7 6 9 -5713.420500 1.335710
4 7 8 11 -9635.789210 0.729166
4 7 9 12 -4061.424495 0.519037
4 7 10 13 850.628681 2.579609
4 7 11 14 6809.566145 0.198609
4 7 12 15 10640.621950 0.280402
4 7 13 16 6457.738685 0.631770
4 7 14 17 -3917.891205 0.584358
4 7 15 18 -6407.521375 0.148662
4 7 16 19 -6568.186330 0.277264
4 7 18 21 1713.711670 1.903794
4 7 19 22 4202.593365 0.200654
4 7 20 23 5136.437850 0.957261
4 7 21 24 3534.479245 2.789600
4 7 22 25 -2812.860250 2.479106
4 7 23 26 -3823.339310 1.791459
4 7 24 27 -4074.953990 2.254794
4 7 25 28 483.772799 0.511871
4 7 26 29 1410.534825 0.928553
4 7 27 30 2481.268600 2.083052
4 7 28 31 2667.977485 2.028349
4 7 29 32 2100.939865 1.139268
4 7 30 33 -1915.031370 1.898753
4 7 31 34 -2443.872310 1.817885
4 7 32 35 -2618.025745 1.507259
4 7 33 36 522.592705 1.872134
4 7 34 37 1007.534460 1.476879
4 7 35 38 1489.547355 1.377955
4 7 36 39 1629.152725 1.486533
4 7 37 40 1287.360280 1.390145
4 7 38 41 -1386.923285 1.853007
4 7 39 42 -1755.024695 1.428277
4 7 40 43 -1792.444895 1.305973
4 7 41 44 511.927013 1.426203
4 7 42 45 758.816142 1.619908
4 7 43 46 953.578568 1.892177
4 7 44 47 1064.376725 1.718951
4 7 45 48 918.275470 1.992770
4 7 46 49 -1052.313850 0.906334
4 7 47 50 -1290.269950 0.958593
4 7 48 51 -1313.802140 0.939668
4 7 49 52 461.589326 1.743577
4 7 50 53 591.941880 1.677807
4 7 51 54 700.372110 1.325298
4 7 52 55 766.268235 1.894740
4 7 53 56 710.444254 1.929300
4 7 54 57 -877.882039 1.825917
4 7 55 58 -1024.342485 1.025180
4 7 56 59 -1054.704795 0.608429
4 7 57 60 430.363916 1.925559
4 7 58 61 518.630510 2.195098
4 7 59 62 591.994911 2.103290
4 7 62 1 -3538.659010 1.192817
4 7 63 2 -5429.195530 2.945796
4 7 64 3 -10187.792650 2.405062
5 8 6 9 1336.470525 1.527553
5 8 12 15 5443.685335 2.748303
5 8 15 18 -2514.172945 2.635221
5 8 16 19 -4283.200840 2.726448
5 8 17 20 -1041.599625 1.035550
5 8 19 22 1264.504565 2.896054
5 8 20 23 3113.173485 2.158869
5 8 21 24 3440.070170 2.251530
5 8 22 25 -378.805742 2.236152
5 8 23 26 -1754.709645 1.215585
5 8 24 27 -2577.233925 1.994462
5 8 26 29 288.148952 1.223461
5 8 27 30 1002.070169 1.977313
5 8 28 31 1654.545300 2.043423
5 8 29 32 1762.222620 1.468435
5 8 31 34 -1225.758675 1.556842
5 8 32 35 -1643.867370 1.359773
5 8 34 37 387.750571 2.054428
5 8 35 38 740.713002 1.537988
5 8 36 39 991.831719 1.789245
5 8 37 40 969.168515 1.523859
5 8 38 41 -628.192651 2.318797
5 8 39 42 -960.941486 1.693508
5 8 40 43 -1102.974525 1.451661
5 8 41 44 231.818960 1.052849
5 8 42 45 376.010965 1.333974
5 8 43 46 526.355411 1.639893
5 8 44 47 649.522808 1.121402
5 8 45 48 614.428261 1.445801
5 8 46 49 -555.162161 1.601813
5 8 47 50 -737.349215 1.603168
5 8 48 51 -798.948675 1.498975
