64
# x y z
+.09000 +.43000 +.00000
+.14000 +.43000 +.00000
+.19000 +.43000 +.00000
+.24000 +.43000 +.00000
+.29000 +.43000 +.00000
+.34000 +.43000 +.00000
3 6 58 61 663.357156
3 6 59 62 729.377872
3 6 60 63 727.010947
3 6 61 64 662.145736
3 6 62 1 -5573.726600
4 7 5 8 8186.701715
4 7 6 9 -5713.420500
4 7 8 11 -9635.789210
4 7 10 13 850.628681
4 7 11 14 6809.566145
4 7 12 15 10640.621950
4 7 13 16 6457.738685
4 7 14 17 -3917.891205
4 7 15 18 -6407.521375
4 7 16 19 -6568.186330
4 7 18 21 1713.711670
4 7 19 22 4202.593365
4 7 20 23 5136.437850
4 7 21 24 3534.479245
4 7 22 25 -2812.860250
4 7 23 26 -3823.339310
4 7 24 27 -4074.953990
4 7 25 28 483.772799
4 7 26 29 1410.534825
4 7 27 30 2481.268600
4 7 28 31 2667.977485
4 7 29 32 2100.939865
4 7 30 33 -1915.031370
4 7 31 34 -2443.872310
4 7 32 35 -2618.025745
4 7 33 36 522.592705
4 7 34 37 1007.534460
4 7 35 38 1489.547355
4 7 36 39 1629.152725
4 7 37 40 1287.360280
4 7 38 41 -1386.923285
4 7 39 42 -1755.024695
4 7 40 43 -1792.444895
4 7 41 44 511.927013
4 7 42 45 758.816142
4 7 43 46 953.578568
4 7 44 47 1064.376725
4 7 45 48 918.275470
4 7 46 49 -1052.313850
4 7 47 50 -1290.269950
4 7 48 51 -1313.802140
4 7 49 52 461.589326
4 7 50 53 591.941880
4 7 51 54 700.372110
4 7 52 55 766.268235
4 7 53 56 710.444254
4 7 54 57 -877.882039
4 7 55 58 -1024.342485
4 7 56 59 -1054.704795
4 7 57 60 430.363916
4 7 58 61 518.630510
4 7 59 62 591.994911
4 7 62 1 -3538.659010
4 7 63 2 -5429.195530
4 7 64 3 -10187.792650
5 8 7 10 -3402.736830
5 8 11 14 633.626125
5 8 12 15 5443.685335
5 8 13 16 7310.699140
5 8 15 18 -2514.172945
5 8 16 19 -4283.200840
5 8 19 22 1264.504565
5 8 20 23 3113.173485
5 8 21 24 3440.070170
5 8 22 25 -378.805742
5 8 23 26 -1754.709645
5 8 24 27 -2577.233925
5 8 26 29 288.148952
5 8 27 30 1002.070169
5 8 28 31 1654.545300
5 8 29 32 1762.222620
5 8 30 33 -589.797269
5 8 31 34 -1225.758675
5 8 32 35 -1643.867370
5 8 33 36 155.250590
5 8 34 37 387.750571
5 8 35 38 740.713002
5 8 36 39 991.831719
5 8 37 40 969.168515
5 8 38 41 -628.192651
5 8 39 42 -960.941486
5 8 40 43 -1102.974525
5 8 41 44 231.818960
5 8 42 45 376.010965
5 8 43 46 526.355411
5 8 44 47 649.522808
5 8 45 48 614.428261
5 8 46 49 -555.162161
5 8 47 50 -737.349215
5 8 48 51 -798.948675
5 8 49 52 235.091660
5 8 50 53 317.006712
5 8 51 54 398.688847
5 8 52 55 463.929966
5 8 53 56 453.174742
5 8 54 57 -484.680696
5 8 55 58 -592.722666
5 8 56 59 -635.969954
5 8 57 60 230.032536
5 8 58 61 287.217888
5 8 59 62 342.369751
5 8 60 63 367.548307
5 8 61 64 355.332828
5 8 62 1 -1704.314950
5 8 63 2 -2458.449490
5 8 64 3 -4111.393765
6 9 8 11 7959.099510
6 9 11 14 -8954.383875
6 9 12 15 -4727.947290
6 9 13 16 -724.895211
6 9 16 19 6736.247355
6 9 17 20 -6193.640200
6 9 18 21 -6539.647330
6 9 19 22 -5952.106640
6 9 20 23 -3550.611675
6 9 21 24 -1206.089505
6 9 23 26 6395.267795
6 9 24 27 5007.740640
6 9 25 28 -3577.793970
6 9 26 29 -3979.678620
6 9 27 30 -3919.604725
6 9 28 31 -2689.060355
6 9 29 32 -1534.756975
6 9 30 33 4458.064785
6 9 31 34 4187.529015
6 9 32 35 3618.292835
6 9 33 36 -1855.120390
6 9 34 37 -2319.113925
6 9 35 38 -2432.481115
6 9 36 39 -2172.371060
6 9 37 40 -1370.306585
6 9 38 41 2897.039040
6 9 39 42 3046.052275
6 9 40 43 2731.993695
6 9 41 44 -1283.198910
6 9 42 45 -1548.431280
6 9 43 46 -1607.425530
6 9 44 47 -1574.350985
6 9 45 48 -1244.804010
6 9 46 49 2014.962840
6 9 47 50 2219.503500
6 9 48 51 2088.423560
6 9 49 52 -987.660841
6 9 50 53 -1134.589575
6 9 51 54 -1201.691055
6 9 52 55 -1202.808810
6 9 53 56 -1052.257320
6 9 54 57 1628.595295
6 9 55 58 1766.670355
6 9 56 59 1716.447815
