! Data File written by ERTLab DACQ 
#IVersion     	             11.5.12       	             DAS-1 Version 	             Version10.03
#IDate        	             10/11/2018 
! ----------------------------------------------------!
#ST
! ----------------------------------------------------!
#ITitle       	             ""
#IInfo        	             ""
#SName        	             "MALMSEQ"
#SGDflt       	             0             	             !Gain Index for Fixed Gain Settings
#SMuxN        	              1            	             !Number of Mux
#SCltSP       	             !Measure SP
#SXcale       	             1.0           	             !Multiply the X,Y,Z locations by this amount
#SOffset	     0             	             !Shift the MUX pin numbers by this amount
#SBtwnRd	     0
#SZMode       	              0            	             !0=Normal, 1=Marine, 2=Magnetic
!TX Section 
#XMXVlt       	             480           	             !Maximum Tx Voltage 
#XCurMx       	             2500          	             !Maximum Tx Current 
#XPowMx       	             250           	             !Maximum Tx Power 
#XVTrgt       	             200           	             !Target Tx Voltage 
#XITrgt       	             2000          	             !Target Tx Current 
#XBtVmn       	             11            	             !Minimum Tx Battery Voltage 
#XTmpMx       	             70            	             !Maximum Tx Temperature 
#XLrRes       	             1             	             !Minimum Tx Electrode Pair Resistance 
#XUpRes       	             200000        	             !Maximum Tx Electrode Pair Resistance 
#XRescheck
!TDIP Section 
#TFrequ       	             01.000000
#TStcks       	             2             	             !Number of Stacks for TDIP
#TRDely       	             30            	             !Pre-Resistivity Measurement Delay (ms)
#TLngtR       	             83.333        	             !Length of Resistivity Measurement Window (ms)
#TIPDly       	             2             	             !IP Delay Before First IP Window (ms) 
#TChrg        	             !Display IP Values as Chargebility 
!List of IP Windows
#elec_start
!Cbl# El# Elec-X  Elec-Y  Elec-Z  Terrn-Z  Type  El.Num
#data_contact_r_col= 16
#data_tx_v_col= 23
!End ERTLab Header Info

!---------------------------------------------------!
!Batteries   Main 14.1  TX  13.5  TX Voltage      4446
!Temperature Main 38.9  TXp 24.7  TXs 24.7


!---------------------------------------------------!
!Begin Data Section!
#data_start
! ID      A      B      M      N        V/I,      Std.     Amp.,     Std.       SP     Current     ContactR  Date_And_Time    Gains     Tx_V
! num   Ca El  Ca El  Ca El  Ca El     (Ohms)    (Ohms)   (Volts)   (Volts)    (mV)      (ma)        (Ohms)
000001 001,01 001,64 001,02 001,03 -1246.79492 +29.46771 -.6588064 +.0155707 -59.42271 +.528400000 +165984.0 20181011_185031 CH 01 GN 1   127
000002 001,01 001,64 001,03 001,04 -2216.65656 +51.79839 -1.171281 +.0273702 -227.8772 +.528400000 +165984.0 20181011_185031 CH 02 GN 1   127
000003 001,01 001,64 001,04 001,05 -4878.83959 +114.2491 -2.577978 +.0603692 +49.99296 +.528400000 +165984.0 20181011_185031 CH 03 GN 1   127
000004 001,01 001,64 001,05 001,06 -866.756945 +11.58917 -.4579943 +.0061237 +187.4420 +.528400000 +165984.0 20181011_185031 CH 04 GN 1   127
000005 001,01 001,64 001,06 001,07 +5007.55766 +109.7181 +2.645993 +.0579750 -234.7118 +.528400000 +165984.0 20181011_185031 CH 05 GN 1   127
000006 001,01 001,64 001,07 001,08 +1933.81515 +44.85700 +1.021827 +.0237024 -18.77685 +.528400000 +165984.0 20181011_185031 CH 06 GN 1   127
